number,date_time,temp,RH,site,block,treatment
1,6/12/2017 8:00,69.814,30.1,CBE,2,corn
2,6/12/2017 8:30,70.803,31.616,CBE,2,corn
3,6/12/2017 9:00,70.201,33.514,CBE,2,corn
4,6/12/2017 9:30,71.361,34.799,CBE,2,corn
5,6/12/2017 10:00,79.655,41.235,CBE,2,corn
6,6/12/2017 10:30,86.572,43.87,CBE,2,corn
7,6/12/2017 11:00,87.894,45.173,CBE,2,corn
8,6/12/2017 11:30,96.386,45.196,CBE,2,corn
9,6/12/2017 12:00,91.402,44.476,CBE,2,corn
10,6/12/2017 12:30,88.03,48.846,CBE,2,corn
11,6/12/2017 13:00,94.086,41.038,CBE,2,corn
12,6/12/2017 13:30,92.291,42.437,CBE,2,corn
13,6/12/2017 14:00,90.703,44.828,CBE,2,corn
14,6/12/2017 14:30,95.374,39.191,CBE,2,corn
15,6/12/2017 15:00,96.24,38.833,CBE,2,corn
16,6/12/2017 15:30,95.76,39.145,CBE,2,corn
17,6/12/2017 16:00,95.184,38.367,CBE,2,corn
18,6/12/2017 16:30,95.04,38.698,CBE,2,corn
19,6/12/2017 17:00,94.658,39.116,CBE,2,corn
20,6/12/2017 17:30,94.467,38.429,CBE,2,corn
21,6/12/2017 18:00,95.04,38.325,CBE,2,corn
22,6/12/2017 18:30,93.564,38.108,CBE,2,corn
23,6/12/2017 19:00,94.134,40.436,CBE,2,corn
24,6/12/2017 19:30,96.87,38.665,CBE,2,corn
25,6/12/2017 20:00,95.279,37.456,CBE,2,corn
26,6/12/2017 20:30,91.402,43.68,CBE,2,corn
27,6/12/2017 21:00,79.963,63.081,CBE,2,corn
28,6/12/2017 21:30,76.158,71.92,CBE,2,corn
29,6/12/2017 22:00,74.813,76.047,CBE,2,corn
30,6/12/2017 22:30,74.034,78.87,CBE,2,corn
31,6/12/2017 23:00,73.17,79.969,CBE,2,corn
32,6/12/2017 23:30,73.558,80.84,CBE,2,corn
33,6/13/2017 0:00,72.955,82.408,CBE,2,corn
34,6/13/2017 0:30,75.204,74.898,CBE,2,corn
35,6/13/2017 1:00,76.071,69.061,CBE,2,corn
36,6/13/2017 1:30,73.299,75.531,CBE,2,corn
37,6/13/2017 2:00,71.146,81.118,CBE,2,corn
38,6/13/2017 2:30,70.372,82.879,CBE,2,corn
39,6/13/2017 3:00,70.372,82.683,CBE,2,corn
40,6/13/2017 3:30,70.372,83.549,CBE,2,corn
41,6/13/2017 4:00,69.343,85.613,CBE,2,corn
42,6/13/2017 4:30,70.029,84.231,CBE,2,corn
43,6/13/2017 5:00,69.386,85.093,CBE,2,corn
44,6/13/2017 5:30,69.685,85.74,CBE,2,corn
45,6/13/2017 6:00,71.533,81.164,CBE,2,corn
46,6/13/2017 6:30,71.661,81.405,CBE,2,corn
47,6/13/2017 7:00,72.61,78.677,CBE,2,corn
48,6/13/2017 7:30,74.597,75.617,CBE,2,corn
49,6/13/2017 8:00,76.114,72.328,CBE,2,corn
50,6/13/2017 8:30,78.339,67.186,CBE,2,corn
51,6/13/2017 9:00,80.845,63.683,CBE,2,corn
52,6/13/2017 9:30,81.952,60.574,CBE,2,corn
53,6/13/2017 10:00,84.004,57.718,CBE,2,corn
54,6/13/2017 10:30,86.029,53.856,CBE,2,corn
55,6/13/2017 11:00,88.396,51.724,CBE,2,corn
56,6/13/2017 11:30,88.947,50.892,CBE,2,corn
57,6/13/2017 12:00,89.915,50.995,CBE,2,corn
58,6/13/2017 12:30,92.856,47.017,CBE,2,corn
59,6/13/2017 13:00,92.856,43.905,CBE,2,corn
60,6/13/2017 13:30,96.289,40.258,CBE,2,corn
61,6/13/2017 14:00,99.07,36.705,CBE,2,corn
62,6/13/2017 14:30,94.944,41.156,CBE,2,corn
63,6/13/2017 15:00,97.209,41.897,CBE,2,corn
64,6/13/2017 15:30,97.014,42.155,CBE,2,corn
65,6/13/2017 16:00,99.316,38.529,CBE,2,corn
66,6/13/2017 16:30,95.711,41.975,CBE,2,corn
67,6/13/2017 17:00,92.244,47.173,CBE,2,corn
68,6/13/2017 17:30,84.004,55.224,CBE,2,corn
69,6/13/2017 18:00,83.287,80.059,CBE,2,corn
70,6/13/2017 18:30,86.844,66.546,CBE,2,corn
71,6/13/2017 19:00,86.301,67.566,CBE,2,corn
72,6/13/2017 19:30,91.17,58.568,CBE,2,corn
73,6/13/2017 20:00,85.802,64.911,CBE,2,corn
74,6/13/2017 20:30,79.567,76.255,CBE,2,corn
75,6/13/2017 21:00,79.041,78.206,CBE,2,corn
76,6/13/2017 21:30,76.593,81.115,CBE,2,corn
77,6/13/2017 22:00,75.333,84.614,CBE,2,corn
78,6/13/2017 22:30,75.247,82.969,CBE,2,corn
79,6/13/2017 23:00,74.813,82.153,CBE,2,corn
80,6/13/2017 23:30,73.213,85.188,CBE,2,corn
81,6/14/2017 0:00,72.221,87.859,CBE,2,corn
82,6/14/2017 0:30,72.955,86.711,CBE,2,corn
83,6/14/2017 1:00,71.877,88.72,CBE,2,corn
84,6/14/2017 1:30,70.201,91.431,CBE,2,corn
85,6/14/2017 2:00,69.514,92.949,CBE,2,corn
86,6/14/2017 2:30,68.999,94.634,CBE,2,corn
87,6/14/2017 3:00,68.698,94.777,CBE,2,corn
88,6/14/2017 3:30,69.129,95.262,CBE,2,corn
89,6/14/2017 4:00,69.343,94.895,CBE,2,corn
90,6/14/2017 4:30,68.913,95.099,CBE,2,corn
91,6/14/2017 5:00,69.427,95.332,CBE,2,corn
92,6/14/2017 5:30,69.771,95.01,CBE,2,corn
93,6/14/2017 6:00,69.514,97.163,CBE,2,corn
94,6/14/2017 6:30,69.085,98.59,CBE,2,corn
95,6/14/2017 7:00,69.213,98.714,CBE,2,corn
96,6/14/2017 7:30,70.243,98.554,CBE,2,corn
97,6/14/2017 8:00,71.06,97.941,CBE,2,corn
98,6/14/2017 8:30,76.899,93.463,CBE,2,corn
99,6/14/2017 9:00,74.554,91.781,CBE,2,corn
100,6/14/2017 9:30,75.029,90.782,CBE,2,corn
101,6/14/2017 10:00,83.064,73.121,CBE,2,corn
102,6/14/2017 10:30,85.352,68.205,CBE,2,corn
103,6/14/2017 11:00,85.802,67.639,CBE,2,corn
104,6/14/2017 11:30,84.004,65.663,CBE,2,corn
105,6/14/2017 12:00,89.407,55.814,CBE,2,corn
106,6/14/2017 12:30,89.177,56.083,CBE,2,corn
107,6/14/2017 13:00,92.197,52.525,CBE,2,corn
108,6/14/2017 13:30,94.849,48.8,CBE,2,corn
109,6/14/2017 14:00,95.952,46.198,CBE,2,corn
110,6/14/2017 14:30,96.435,43.863,CBE,2,corn
111,6/14/2017 15:00,90.471,51.878,CBE,2,corn
112,6/14/2017 15:30,97.063,43.903,CBE,2,corn
113,6/14/2017 16:00,92.997,48.211,CBE,2,corn
114,6/14/2017 16:30,90.982,48.891,CBE,2,corn
115,6/14/2017 17:00,93.706,46.48,CBE,2,corn
116,6/14/2017 17:30,92.763,46.021,CBE,2,corn
117,6/14/2017 18:00,87.573,56.971,CBE,2,corn
118,6/14/2017 18:30,85.849,57.241,CBE,2,corn
119,6/14/2017 19:00,85.984,59.361,CBE,2,corn
120,6/14/2017 19:30,82.308,65.32,CBE,2,corn
121,6/14/2017 20:00,80.361,67.383,CBE,2,corn
122,6/14/2017 20:30,78.777,71.422,CBE,2,corn
123,6/14/2017 21:00,78.91,71.703,CBE,2,corn
124,6/14/2017 21:30,67.285,97.646,CBE,2,corn
125,6/14/2017 22:00,67.158,98.977,CBE,2,corn
126,6/14/2017 22:30,67.329,99.416,CBE,2,corn
127,6/14/2017 23:00,67.199,99.81,CBE,2,corn
128,6/14/2017 23:30,67.543,100,CBE,2,corn
129,6/15/2017 0:00,67.285,100,CBE,2,corn
130,6/15/2017 0:30,67.329,100,CBE,2,corn
131,6/15/2017 1:00,67.798,100,CBE,2,corn
132,6/15/2017 1:30,68.4,100,CBE,2,corn
133,6/15/2017 2:00,68.185,100,CBE,2,corn
134,6/15/2017 2:30,68.484,100,CBE,2,corn
135,6/15/2017 3:00,67.627,100,CBE,2,corn
136,6/15/2017 3:30,67.757,100,CBE,2,corn
137,6/15/2017 4:00,67.543,100,CBE,2,corn
138,6/15/2017 4:30,67.842,100,CBE,2,corn
139,6/15/2017 5:00,67.372,100,CBE,2,corn
140,6/15/2017 5:30,66.985,100,CBE,2,corn
141,6/15/2017 6:00,66,100,CBE,2,corn
142,6/15/2017 6:30,66.772,100,CBE,2,corn
143,6/15/2017 7:00,67.413,100,CBE,2,corn
144,6/15/2017 7:30,68.313,100,CBE,2,corn
145,6/15/2017 8:00,69.858,100,CBE,2,corn
146,6/15/2017 8:30,71.62,98.968,CBE,2,corn
147,6/15/2017 9:00,75.551,97.383,CBE,2,corn
148,6/15/2017 9:30,77.464,96.832,CBE,2,corn
149,6/15/2017 10:00,78.339,95.964,CBE,2,corn
150,6/15/2017 10:30,78.865,95.985,CBE,2,corn
151,6/15/2017 11:00,79.084,93.929,CBE,2,corn
152,6/15/2017 11:30,82.886,94.155,CBE,2,corn
153,6/15/2017 12:00,80.449,92.338,CBE,2,corn
154,6/15/2017 12:30,84.542,87.776,CBE,2,corn
155,6/15/2017 13:00,86.074,74.335,CBE,2,corn
156,6/15/2017 13:30,88.626,70.233,CBE,2,corn
157,6/15/2017 14:00,85.577,70.35,CBE,2,corn
158,6/15/2017 14:30,89.085,66.698,CBE,2,corn
159,6/15/2017 15:00,87.573,67.383,CBE,2,corn
160,6/15/2017 15:30,89.87,65.073,CBE,2,corn
161,6/15/2017 16:00,87.028,65.949,CBE,2,corn
162,6/15/2017 16:30,84.362,69.684,CBE,2,corn
163,6/15/2017 17:00,86.572,68.203,CBE,2,corn
164,6/15/2017 17:30,85.712,69.031,CBE,2,corn
165,6/15/2017 18:00,85.622,68.11,CBE,2,corn
166,6/15/2017 18:30,89.362,70.155,CBE,2,corn
167,6/15/2017 19:00,91.963,73.093,CBE,2,corn
168,6/15/2017 19:30,92.763,64.998,CBE,2,corn
169,6/15/2017 20:00,89.638,65.608,CBE,2,corn
170,6/15/2017 20:30,84.272,69.251,CBE,2,corn
171,6/15/2017 21:00,78.121,78.853,CBE,2,corn
172,6/15/2017 21:30,73.083,86.561,CBE,2,corn
173,6/15/2017 22:00,69.685,94.2,CBE,2,corn
174,6/15/2017 22:30,67.842,96.577,CBE,2,corn
175,6/15/2017 23:00,67.114,98.504,CBE,2,corn
176,6/15/2017 23:30,66.258,98.919,CBE,2,corn
177,6/16/2017 0:00,65.316,99.216,CBE,2,corn
178,6/16/2017 0:30,64.931,99.928,CBE,2,corn
179,6/16/2017 1:00,64.459,100,CBE,2,corn
180,6/16/2017 1:30,63.518,100,CBE,2,corn
181,6/16/2017 2:00,63.99,100,CBE,2,corn
182,6/16/2017 2:30,63.176,100,CBE,2,corn
183,6/16/2017 3:00,63.39,100,CBE,2,corn
184,6/16/2017 3:30,66.301,97.812,CBE,2,corn
185,6/16/2017 4:00,65.145,97.77,CBE,2,corn
186,6/16/2017 4:30,64.974,98.649,CBE,2,corn
187,6/16/2017 5:00,66.087,97.104,CBE,2,corn
188,6/16/2017 5:30,68.227,93.356,CBE,2,corn
189,6/16/2017 6:00,67.757,96.827,CBE,2,corn
190,6/16/2017 6:30,67.242,98.886,CBE,2,corn
191,6/16/2017 7:00,67.757,98.911,CBE,2,corn
192,6/16/2017 7:30,69.471,97.288,CBE,2,corn
193,6/16/2017 8:00,70.201,93.686,CBE,2,corn
194,6/16/2017 8:30,75.29,83.934,CBE,2,corn
195,6/16/2017 9:00,79.261,80.427,CBE,2,corn
196,6/16/2017 9:30,80.139,73.878,CBE,2,corn
197,6/16/2017 10:00,75.29,79.044,CBE,2,corn
198,6/16/2017 10:30,79.567,72.455,CBE,2,corn
199,6/16/2017 11:00,79.831,71.681,CBE,2,corn
200,6/16/2017 11:30,83.287,67.972,CBE,2,corn
201,6/16/2017 12:00,84.945,65.998,CBE,2,corn
202,6/16/2017 12:30,79.963,68.461,CBE,2,corn
203,6/16/2017 13:00,78.602,71.879,CBE,2,corn
204,6/16/2017 13:30,77.509,74.477,CBE,2,corn
205,6/16/2017 14:00,82.263,64.642,CBE,2,corn
206,6/16/2017 14:30,81.642,60.237,CBE,2,corn
207,6/16/2017 15:00,81.597,58.988,CBE,2,corn
208,6/16/2017 15:30,81.775,57.627,CBE,2,corn
209,6/16/2017 16:00,79.567,60.242,CBE,2,corn
210,6/16/2017 16:30,82.13,59.407,CBE,2,corn
211,6/16/2017 17:00,87.847,50.359,CBE,2,corn
212,6/16/2017 17:30,86.301,49.923,CBE,2,corn
213,6/16/2017 18:00,86.891,47.333,CBE,2,corn
214,6/16/2017 18:30,89.638,45.023,CBE,2,corn
215,6/16/2017 19:00,93.754,43.428,CBE,2,corn
216,6/16/2017 19:30,93.897,40.22,CBE,2,corn
217,6/16/2017 20:00,87.436,44.419,CBE,2,corn
218,6/16/2017 20:30,80.272,60.117,CBE,2,corn
219,6/16/2017 21:00,74.856,70.187,CBE,2,corn
220,6/16/2017 21:30,70.072,79.377,CBE,2,corn
221,6/16/2017 22:00,68.4,85.961,CBE,2,corn
222,6/16/2017 22:30,67.199,86.985,CBE,2,corn
223,6/16/2017 23:00,65.959,89.885,CBE,2,corn
224,6/16/2017 23:30,65.701,90.226,CBE,2,corn
225,6/17/2017 0:00,63.732,93.806,CBE,2,corn
226,6/17/2017 0:30,64.161,94.261,CBE,2,corn
227,6/17/2017 1:00,65.102,92.28,CBE,2,corn
228,6/17/2017 1:30,65.403,90.989,CBE,2,corn
229,6/17/2017 2:00,66.258,87.544,CBE,2,corn
230,6/17/2017 2:30,66.558,86.738,CBE,2,corn
231,6/17/2017 3:00,67.028,86.58,CBE,2,corn
232,6/17/2017 3:30,68.056,85.063,CBE,2,corn
233,6/17/2017 4:00,67.714,86.641,CBE,2,corn
234,6/17/2017 4:30,68.185,86.867,CBE,2,corn
235,6/17/2017 5:00,68.313,87.595,CBE,2,corn
236,6/17/2017 5:30,66.985,91.313,CBE,2,corn
237,6/17/2017 6:00,66.472,92.578,CBE,2,corn
238,6/17/2017 6:30,68.871,89.465,CBE,2,corn
239,6/17/2017 7:00,70.63,87.074,CBE,2,corn
240,6/17/2017 7:30,71.533,86.805,CBE,2,corn
241,6/17/2017 8:00,72.955,85.629,CBE,2,corn
242,6/17/2017 8:30,73.645,84.039,CBE,2,corn
243,6/17/2017 9:00,76.854,79.456,CBE,2,corn
244,6/17/2017 9:30,74.813,82.945,CBE,2,corn
245,6/17/2017 10:00,74.856,83.683,CBE,2,corn
246,6/17/2017 10:30,74.12,85.916,CBE,2,corn
247,6/17/2017 11:00,76.681,81.81,CBE,2,corn
248,6/17/2017 11:30,78.076,79.713,CBE,2,corn
249,6/17/2017 12:00,78.733,77.416,CBE,2,corn
250,6/17/2017 12:30,77.902,78.481,CBE,2,corn
251,6/17/2017 13:00,77.99,75.525,CBE,2,corn
252,6/17/2017 13:30,78.645,73.364,CBE,2,corn
253,6/17/2017 14:00,79.963,71.605,CBE,2,corn
254,6/17/2017 14:30,84.317,66.091,CBE,2,corn
255,6/17/2017 15:00,90.147,54.496,CBE,2,corn
256,6/17/2017 15:30,91.355,52.527,CBE,2,corn
257,6/17/2017 16:00,91.636,48.38,CBE,2,corn
258,6/17/2017 16:30,87.073,54.959,CBE,2,corn
259,6/17/2017 17:00,88.947,51.927,CBE,2,corn
260,6/17/2017 17:30,90.194,48.705,CBE,2,corn
261,6/17/2017 18:00,83.601,64.736,CBE,2,corn
262,6/17/2017 18:30,82.62,86.231,CBE,2,corn
263,6/17/2017 19:00,76.158,87.401,CBE,2,corn
264,6/17/2017 19:30,75.42,91.054,CBE,2,corn
265,6/17/2017 20:00,74.25,89.198,CBE,2,corn
266,6/17/2017 20:30,71.231,97.177,CBE,2,corn
267,6/17/2017 21:00,70.587,98.134,CBE,2,corn
268,6/17/2017 21:30,70.502,98.488,CBE,2,corn
269,6/17/2017 22:00,70.459,98.951,CBE,2,corn
270,6/17/2017 22:30,70.759,99.101,CBE,2,corn
271,6/17/2017 23:00,70.286,98.926,CBE,2,corn
272,6/17/2017 23:30,70.072,99.363,CBE,2,corn
273,6/18/2017 0:00,70.029,99.564,CBE,2,corn
274,6/18/2017 0:30,70.459,99.238,CBE,2,corn
275,6/18/2017 1:00,70.372,99.434,CBE,2,corn
276,6/18/2017 1:30,70.201,99.746,CBE,2,corn
277,6/18/2017 2:00,70.243,100,CBE,2,corn
278,6/18/2017 2:30,70.329,100,CBE,2,corn
279,6/18/2017 3:00,70.543,100,CBE,2,corn
280,6/18/2017 3:30,70.63,100,CBE,2,corn
281,6/18/2017 4:00,70.759,100,CBE,2,corn
282,6/18/2017 4:30,70.502,98.514,CBE,2,corn
283,6/18/2017 5:00,69.557,98.191,CBE,2,corn
284,6/18/2017 5:30,69.17,97.506,CBE,2,corn
285,6/18/2017 6:00,69.343,96.323,CBE,2,corn
286,6/18/2017 6:30,69.685,94.626,CBE,2,corn
287,6/18/2017 7:00,70.029,93.609,CBE,2,corn
288,6/18/2017 7:30,70.543,90.585,CBE,2,corn
289,6/18/2017 8:00,70.587,90.835,CBE,2,corn
290,6/18/2017 8:30,71.146,89.988,CBE,2,corn
291,6/18/2017 9:00,71.834,89.589,CBE,2,corn
292,6/18/2017 9:30,73.645,84.347,CBE,2,corn
293,6/18/2017 10:00,73.861,83.026,CBE,2,corn
294,6/18/2017 10:30,70.846,90.273,CBE,2,corn
295,6/18/2017 11:00,74.467,87.405,CBE,2,corn
296,6/18/2017 11:30,77.77,80.137,CBE,2,corn
297,6/18/2017 12:00,77.902,70.678,CBE,2,corn
298,6/18/2017 12:30,80.008,61.547,CBE,2,corn
299,6/18/2017 13:00,80.492,57.614,CBE,2,corn
300,6/18/2017 13:30,80.757,58.011,CBE,2,corn
301,6/18/2017 14:00,78.076,58.129,CBE,2,corn
302,6/18/2017 14:30,79.173,56.973,CBE,2,corn
303,6/18/2017 15:00,77.335,58.097,CBE,2,corn
304,6/18/2017 15:30,77.596,57.311,CBE,2,corn
305,6/18/2017 16:00,80.58,53.529,CBE,2,corn
306,6/18/2017 16:30,78.602,52.331,CBE,2,corn
307,6/18/2017 17:00,79.743,52.958,CBE,2,corn
308,6/18/2017 17:30,78.514,53.495,CBE,2,corn
309,6/18/2017 18:00,75.376,56.566,CBE,2,corn
310,6/18/2017 18:30,77.815,54.355,CBE,2,corn
311,6/18/2017 19:00,77.16,54.114,CBE,2,corn
312,6/18/2017 19:30,72.869,61.46,CBE,2,corn
313,6/18/2017 20:00,72.696,61.719,CBE,2,corn
314,6/18/2017 20:30,70.63,65.479,CBE,2,corn
315,6/18/2017 21:00,69.085,69.007,CBE,2,corn
316,6/18/2017 21:30,68.313,71.097,CBE,2,corn
317,6/18/2017 22:00,67.158,74.621,CBE,2,corn
318,6/18/2017 22:30,66.686,75.027,CBE,2,corn
319,6/18/2017 23:00,66.258,76.094,CBE,2,corn
320,6/18/2017 23:30,65.701,77.423,CBE,2,corn
321,6/19/2017 0:00,64.459,80.874,CBE,2,corn
322,6/19/2017 0:30,63.475,84.729,CBE,2,corn
323,6/19/2017 1:00,64.288,82.851,CBE,2,corn
324,6/19/2017 1:30,63.475,84.975,CBE,2,corn
325,6/19/2017 2:00,62.875,87.154,CBE,2,corn
326,6/19/2017 2:30,63.09,87.128,CBE,2,corn
327,6/19/2017 3:00,62.019,89.566,CBE,2,corn
328,6/19/2017 3:30,60.346,92.512,CBE,2,corn
329,6/19/2017 4:00,60.517,92.037,CBE,2,corn
330,6/19/2017 4:30,60.089,92.607,CBE,2,corn
331,6/19/2017 5:00,59.401,93.946,CBE,2,corn
332,6/19/2017 5:30,59.659,92.782,CBE,2,corn
333,6/19/2017 6:00,58.455,95.027,CBE,2,corn
334,6/19/2017 6:30,59.014,95.031,CBE,2,corn
335,6/19/2017 7:00,63.604,90.236,CBE,2,corn
336,6/19/2017 7:30,65.145,87.044,CBE,2,corn
337,6/19/2017 8:00,68.142,80.814,CBE,2,corn
338,6/19/2017 8:30,70.543,75.831,CBE,2,corn
339,6/19/2017 9:00,72.61,70.841,CBE,2,corn
340,6/19/2017 9:30,74.467,65.426,CBE,2,corn
341,6/19/2017 10:00,73.688,63.207,CBE,2,corn
342,6/19/2017 10:30,76.375,62.326,CBE,2,corn
343,6/19/2017 11:00,75.029,63.057,CBE,2,corn
344,6/19/2017 11:30,75.508,62.705,CBE,2,corn
345,6/19/2017 12:00,76.636,58.193,CBE,2,corn
346,6/19/2017 12:30,80.625,55.239,CBE,2,corn
347,6/19/2017 13:00,74.25,59.809,CBE,2,corn
348,6/19/2017 13:30,70.243,70.449,CBE,2,corn
349,6/19/2017 14:00,78.208,52.934,CBE,2,corn
350,6/19/2017 14:30,77.16,54.209,CBE,2,corn
351,6/19/2017 15:00,78.865,48.362,CBE,2,corn
352,6/19/2017 15:30,78.076,50.162,CBE,2,corn
353,6/19/2017 16:00,78.033,50.254,CBE,2,corn
354,6/19/2017 16:30,78.296,49.219,CBE,2,corn
355,6/19/2017 17:00,79.788,48.845,CBE,2,corn
356,6/19/2017 17:30,79.831,50.066,CBE,2,corn
357,6/19/2017 18:00,76.114,50.717,CBE,2,corn
358,6/19/2017 18:30,72.437,56.386,CBE,2,corn
359,6/19/2017 19:00,63.946,74.723,CBE,2,corn
360,6/19/2017 19:30,63.176,79.324,CBE,2,corn
361,6/19/2017 20:00,63.775,75.017,CBE,2,corn
362,6/19/2017 20:30,67.158,67.811,CBE,2,corn
363,6/19/2017 21:00,61.248,76.347,CBE,2,corn
364,6/19/2017 21:30,60.433,77.49,CBE,2,corn
365,6/19/2017 22:00,60.433,78.05,CBE,2,corn
366,6/19/2017 22:30,60.39,79.105,CBE,2,corn
367,6/19/2017 23:00,60.132,81.731,CBE,2,corn
368,6/19/2017 23:30,59.142,84.666,CBE,2,corn
369,6/20/2017 0:00,58.195,88.463,CBE,2,corn
370,6/20/2017 0:30,58.023,90.189,CBE,2,corn
371,6/20/2017 1:00,57.506,92.243,CBE,2,corn
372,6/20/2017 1:30,57.679,91.666,CBE,2,corn
373,6/20/2017 2:00,57.16,92.429,CBE,2,corn
374,6/20/2017 2:30,57.247,92.571,CBE,2,corn
375,6/20/2017 3:00,57.636,92.965,CBE,2,corn
376,6/20/2017 3:30,57.16,94.736,CBE,2,corn
377,6/20/2017 4:00,57.42,95.417,CBE,2,corn
378,6/20/2017 4:30,57.42,95.982,CBE,2,corn
379,6/20/2017 5:00,57.42,96.418,CBE,2,corn
380,6/20/2017 5:30,57.549,97.305,CBE,2,corn
381,6/20/2017 6:00,56.944,97.367,CBE,2,corn
382,6/20/2017 6:30,57.333,96.941,CBE,2,corn
383,6/20/2017 7:00,60.132,93.79,CBE,2,corn
384,6/20/2017 7:30,62.105,89.818,CBE,2,corn
385,6/20/2017 8:00,64.288,83.926,CBE,2,corn
386,6/20/2017 8:30,66.772,78.227,CBE,2,corn
387,6/20/2017 9:00,68.313,71.563,CBE,2,corn
388,6/20/2017 9:30,71.274,61.408,CBE,2,corn
389,6/20/2017 10:00,73.558,57.129,CBE,2,corn
390,6/20/2017 10:30,74.077,55.557,CBE,2,corn
391,6/20/2017 11:00,73.472,55.975,CBE,2,corn
392,6/20/2017 11:30,77.727,52.866,CBE,2,corn
393,6/20/2017 12:00,75.16,52.511,CBE,2,corn
394,6/20/2017 12:30,79.304,48.971,CBE,2,corn
395,6/20/2017 13:00,77.902,47.234,CBE,2,corn
396,6/20/2017 13:30,76.332,44.741,CBE,2,corn
397,6/20/2017 14:00,79.567,42.704,CBE,2,corn
398,6/20/2017 14:30,76.986,43.909,CBE,2,corn
399,6/20/2017 15:00,77.335,41.552,CBE,2,corn
400,6/20/2017 15:30,72.826,49.366,CBE,2,corn
401,6/20/2017 16:00,66.686,67.144,CBE,2,corn
402,6/20/2017 16:30,61.761,76.067,CBE,2,corn
403,6/20/2017 17:00,58.023,87.854,CBE,2,corn
404,6/20/2017 17:30,58.971,89.1,CBE,2,corn
405,6/20/2017 18:00,59.142,89.972,CBE,2,corn
406,6/20/2017 18:30,59.745,88.832,CBE,2,corn
407,6/20/2017 19:00,62.919,83.836,CBE,2,corn
408,6/20/2017 19:30,77.727,67.126,CBE,2,corn
409,6/20/2017 20:00,75.029,62.996,CBE,2,corn
410,6/20/2017 20:30,62.319,82.882,CBE,2,corn
411,6/20/2017 21:00,60.991,85.554,CBE,2,corn
412,6/20/2017 21:30,60.174,87.176,CBE,2,corn
413,6/20/2017 22:00,58.411,90.928,CBE,2,corn
414,6/20/2017 22:30,57.16,94.607,CBE,2,corn
415,6/20/2017 23:00,56.728,96.136,CBE,2,corn
416,6/20/2017 23:30,55.69,97.204,CBE,2,corn
417,6/21/2017 0:00,54.604,97.75,CBE,2,corn
418,6/21/2017 0:30,53.602,98.051,CBE,2,corn
419,6/21/2017 1:00,52.947,98.653,CBE,2,corn
420,6/21/2017 1:30,51.764,98.921,CBE,2,corn
421,6/21/2017 2:00,53.166,99.486,CBE,2,corn
422,6/21/2017 2:30,52.291,99.575,CBE,2,corn
423,6/21/2017 3:00,51.633,99.448,CBE,2,corn
424,6/21/2017 3:30,50.709,99.899,CBE,2,corn
425,6/21/2017 4:00,50.047,99.993,CBE,2,corn
426,6/21/2017 4:30,49.782,99.902,CBE,2,corn
427,6/21/2017 5:00,48.805,100,CBE,2,corn
428,6/21/2017 5:30,48.85,100,CBE,2,corn
429,6/21/2017 6:00,48.405,100,CBE,2,corn
430,6/21/2017 6:30,49.428,99.945,CBE,2,corn
431,6/21/2017 7:00,56.469,98.184,CBE,2,corn
432,6/21/2017 7:30,60.647,93.184,CBE,2,corn
433,6/21/2017 8:00,62.875,91.414,CBE,2,corn
434,6/21/2017 8:30,67.757,85.493,CBE,2,corn
435,6/21/2017 9:00,70.759,76.976,CBE,2,corn
436,6/21/2017 9:30,73.515,67.941,CBE,2,corn
437,6/21/2017 10:00,76.071,59.66,CBE,2,corn
438,6/21/2017 10:30,77.247,57.437,CBE,2,corn
439,6/21/2017 11:00,78.996,52.171,CBE,2,corn
440,6/21/2017 11:30,80.625,49.675,CBE,2,corn
441,6/21/2017 12:00,81.199,45.549,CBE,2,corn
442,6/21/2017 12:30,81.554,45.28,CBE,2,corn
443,6/21/2017 13:00,83.021,45.963,CBE,2,corn
444,6/21/2017 13:30,81.199,45.679,CBE,2,corn
445,6/21/2017 14:00,80.139,44.666,CBE,2,corn
446,6/21/2017 14:30,78.559,48.148,CBE,2,corn
447,6/21/2017 15:00,77.16,51.08,CBE,2,corn
448,6/21/2017 15:30,81.952,43.215,CBE,2,corn
449,6/21/2017 16:00,82.13,42.668,CBE,2,corn
450,6/21/2017 16:30,89.362,36.897,CBE,2,corn
451,6/21/2017 17:00,86.527,37.382,CBE,2,corn
452,6/21/2017 17:30,83.154,40.72,CBE,2,corn
453,6/21/2017 18:00,83.199,42.801,CBE,2,corn
454,6/21/2017 18:30,82.13,42.898,CBE,2,corn
455,6/21/2017 19:00,80.935,43.281,CBE,2,corn
456,6/21/2017 19:30,81.333,41.501,CBE,2,corn
457,6/21/2017 20:00,84.677,37.782,CBE,2,corn
458,6/21/2017 20:30,81.909,45.531,CBE,2,corn
459,6/21/2017 21:00,68.785,71.059,CBE,2,corn
460,6/21/2017 21:30,62.577,85.433,CBE,2,corn
461,6/21/2017 22:00,61.075,88.851,CBE,2,corn
462,6/21/2017 22:30,59.745,89.577,CBE,2,corn
463,6/21/2017 23:00,59.745,92.008,CBE,2,corn
464,6/21/2017 23:30,60.046,92.234,CBE,2,corn
465,6/22/2017 0:00,59.616,93.43,CBE,2,corn
466,6/22/2017 0:30,60.174,92.803,CBE,2,corn
467,6/22/2017 1:00,60.861,89.516,CBE,2,corn
468,6/22/2017 1:30,60.604,92.233,CBE,2,corn
